
%NQSII(INFO): ------- Output from job:0000 -------
     196.145s 0000 Spinup Function norm 4.328962677595e+01
     196.554s 0001 Spinup Function norm 2.228472721859e+01
     196.198s 0002 Spinup Function norm 1.286500993446e+01
      75.741s 0000 Spinup Function norm 4.328962677595e+01
      75.734s 0001 Spinup Function norm 2.228472721859e+01
      75.736s 0002 Spinup Function norm 1.286500993446e+01
      54.712s 0000 Spinup Function norm 4.328962677595e+01
      54.719s 0001 Spinup Function norm 2.228472721859e+01
      54.714s 0002 Spinup Function norm 1.286500993446e+01
      40.914s 0000 Spinup Function norm 4.328962677595e+01
      40.915s 0001 Spinup Function norm 2.228472721859e+01
      40.913s 0002 Spinup Function norm 1.286500993446e+01
      37.065s 0000 Spinup Function norm 4.328962677595e+01
      36.966s 0001 Spinup Function norm 2.228472721859e+01
      37.070s 0002 Spinup Function norm 1.286500993446e+01
      35.323s 0000 Spinup Function norm 4.328962677595e+01
      35.317s 0001 Spinup Function norm 2.228472721859e+01
      35.322s 0002 Spinup Function norm 1.286500993446e+01
      30.092s 0000 Spinup Function norm 4.328962677595e+01
      30.090s 0001 Spinup Function norm 2.228472721859e+01
      30.087s 0002 Spinup Function norm 1.286500993446e+01
      25.964s 0000 Spinup Function norm 4.328962677595e+01
      25.963s 0001 Spinup Function norm 2.228472721859e+01
      25.990s 0002 Spinup Function norm 1.286500993446e+01
      26.946s 0000 Spinup Function norm 4.328962677595e+01
      26.949s 0001 Spinup Function norm 2.228472721859e+01
      26.945s 0002 Spinup Function norm 1.286500993446e+01
      23.864s 0000 Spinup Function norm 4.328962677595e+01
      23.866s 0001 Spinup Function norm 2.228472721859e+01
      23.863s 0002 Spinup Function norm 1.286500993446e+01
      24.959s 0000 Spinup Function norm 4.328962677595e+01
      24.955s 0001 Spinup Function norm 2.228472721859e+01
      24.956s 0002 Spinup Function norm 1.286500993446e+01
      22.151s 0000 Spinup Function norm 4.328962677595e+01
      22.163s 0001 Spinup Function norm 2.228472721859e+01
      22.166s 0002 Spinup Function norm 1.286500993446e+01
      24.125s 0000 Spinup Function norm 4.328962677595e+01
      24.112s 0001 Spinup Function norm 2.228472721859e+01
      24.146s 0002 Spinup Function norm 1.286500993446e+01
      21.731s 0000 Spinup Function norm 4.328962677595e+01
      21.728s 0001 Spinup Function norm 2.228472721859e+01
      21.731s 0002 Spinup Function norm 1.286500993446e+01
      22.972s 0000 Spinup Function norm 4.328962677595e+01
      22.971s 0001 Spinup Function norm 2.228472721859e+01
      22.969s 0002 Spinup Function norm 1.286500993446e+01
      21.293s 0000 Spinup Function norm 4.328962677595e+01
      21.292s 0001 Spinup Function norm 2.228472721859e+01
      21.288s 0002 Spinup Function norm 1.286500993446e+01
      19.613s 0000 Spinup Function norm 4.328962677595e+01
      19.602s 0001 Spinup Function norm 2.228472721859e+01
      19.585s 0002 Spinup Function norm 1.286500993446e+01
      18.243s 0000 Spinup Function norm 4.328962677595e+01
      18.238s 0001 Spinup Function norm 2.228472721859e+01
      18.234s 0002 Spinup Function norm 1.286500993446e+01
      16.892s 0000 Spinup Function norm 4.328962677595e+01
      16.849s 0001 Spinup Function norm 2.228472721859e+01
      16.848s 0002 Spinup Function norm 1.286500993446e+01
      15.051s 0000 Spinup Function norm 4.328962677595e+01
      14.607s 0001 Spinup Function norm 2.228472721859e+01
      14.519s 0002 Spinup Function norm 1.286500993446e+01
      14.179s 0000 Spinup Function norm 4.328962677595e+01
      14.031s 0001 Spinup Function norm 2.228472721859e+01
      14.125s 0002 Spinup Function norm 1.286500993446e+01
      13.561s 0000 Spinup Function norm 4.328962677595e+01
      13.539s 0001 Spinup Function norm 2.228472721859e+01
      13.565s 0002 Spinup Function norm 1.286500993446e+01
      12.901s 0000 Spinup Function norm 4.328962677595e+01
      12.900s 0001 Spinup Function norm 2.228472721859e+01
      12.724s 0002 Spinup Function norm 1.286500993446e+01
      11.996s 0000 Spinup Function norm 4.328962677595e+01
      11.999s 0001 Spinup Function norm 2.228472721859e+01
      11.996s 0002 Spinup Function norm 1.286500993446e+01
      11.080s 0000 Spinup Function norm 4.328962677595e+01
      11.085s 0001 Spinup Function norm 2.228472721859e+01
      11.086s 0002 Spinup Function norm 1.286500993446e+01
      10.537s 0000 Spinup Function norm 4.328962677595e+01
      10.534s 0001 Spinup Function norm 2.228472721859e+01
      10.536s 0002 Spinup Function norm 1.286500993446e+01
       9.919s 0000 Spinup Function norm 4.328962677595e+01
       9.902s 0001 Spinup Function norm 2.228472721859e+01
       9.893s 0002 Spinup Function norm 1.286500993446e+01
       9.372s 0000 Spinup Function norm 4.328962677595e+01
       9.371s 0001 Spinup Function norm 2.228472721859e+01
       9.380s 0002 Spinup Function norm 1.286500993446e+01
       8.795s 0000 Spinup Function norm 4.328962677595e+01
       8.793s 0001 Spinup Function norm 2.228472721859e+01
       8.793s 0002 Spinup Function norm 1.286500993446e+01
       8.182s 0000 Spinup Function norm 4.328962677595e+01
       8.191s 0001 Spinup Function norm 2.228472721859e+01
       8.184s 0002 Spinup Function norm 1.286500993446e+01
       7.695s 0000 Spinup Function norm 4.328962677595e+01
       7.684s 0001 Spinup Function norm 2.228472721859e+01
       7.693s 0002 Spinup Function norm 1.286500993446e+01
       7.462s 0000 Spinup Function norm 4.328962677595e+01
       7.455s 0001 Spinup Function norm 2.228472721859e+01
       7.459s 0002 Spinup Function norm 1.286500993446e+01
       7.054s 0000 Spinup Function norm 4.328962677595e+01
       7.048s 0001 Spinup Function norm 2.228472721859e+01
       7.054s 0002 Spinup Function norm 1.286500993446e+01
       6.797s 0000 Spinup Function norm 4.328962677595e+01
       6.816s 0001 Spinup Function norm 2.228472721859e+01
       6.784s 0002 Spinup Function norm 1.286500993446e+01
       6.269s 0000 Spinup Function norm 4.328962677595e+01
       6.264s 0001 Spinup Function norm 2.228472721859e+01
       6.260s 0002 Spinup Function norm 1.286500993446e+01
