
%NQSII(INFO): ------- Output from job:0000 -------
     196.664s 0000 Spinup Function norm 4.328962677595e+01
     196.559s 0001 Spinup Function norm 2.228472721859e+01
     196.255s 0002 Spinup Function norm 1.286500993446e+01
      75.820s 0000 Spinup Function norm 4.328962677595e+01
      75.812s 0001 Spinup Function norm 2.228472721859e+01
      75.817s 0002 Spinup Function norm 1.286500993446e+01
      61.006s 0000 Spinup Function norm 4.328962677595e+01
      60.996s 0001 Spinup Function norm 2.228472721859e+01
      60.928s 0002 Spinup Function norm 1.286500993446e+01
      40.978s 0000 Spinup Function norm 4.328962677595e+01
      40.976s 0001 Spinup Function norm 2.228472721859e+01
      40.982s 0002 Spinup Function norm 1.286500993446e+01
      37.117s 0000 Spinup Function norm 4.328962677595e+01
      37.118s 0001 Spinup Function norm 2.228472721859e+01
      37.118s 0002 Spinup Function norm 1.286500993446e+01
      35.228s 0000 Spinup Function norm 4.328962677595e+01
      35.222s 0001 Spinup Function norm 2.228472721859e+01
      35.222s 0002 Spinup Function norm 1.286500993446e+01
      29.728s 0000 Spinup Function norm 4.328962677595e+01
      29.720s 0001 Spinup Function norm 2.228472721859e+01
      29.710s 0002 Spinup Function norm 1.286500993446e+01
      25.813s 0000 Spinup Function norm 4.328962677595e+01
      25.801s 0001 Spinup Function norm 2.228472721859e+01
      25.812s 0002 Spinup Function norm 1.286500993446e+01
      26.952s 0000 Spinup Function norm 4.328962677595e+01
      26.950s 0001 Spinup Function norm 2.228472721859e+01
      26.948s 0002 Spinup Function norm 1.286500993446e+01
      23.338s 0000 Spinup Function norm 4.328962677595e+01
      23.236s 0001 Spinup Function norm 2.228472721859e+01
      23.179s 0002 Spinup Function norm 1.286500993446e+01
      24.832s 0000 Spinup Function norm 4.328962677595e+01
      24.887s 0001 Spinup Function norm 2.228472721859e+01
      24.886s 0002 Spinup Function norm 1.286500993446e+01
      22.116s 0000 Spinup Function norm 4.328962677595e+01
      22.100s 0001 Spinup Function norm 2.228472721859e+01
      22.092s 0002 Spinup Function norm 1.286500993446e+01
      23.835s 0000 Spinup Function norm 4.328962677595e+01
      23.830s 0001 Spinup Function norm 2.228472721859e+01
      23.817s 0002 Spinup Function norm 1.286500993446e+01
      21.850s 0000 Spinup Function norm 4.328962677595e+01
      21.852s 0001 Spinup Function norm 2.228472721859e+01
      21.853s 0002 Spinup Function norm 1.286500993446e+01
      22.984s 0000 Spinup Function norm 4.328962677595e+01
      22.984s 0001 Spinup Function norm 2.228472721859e+01
      22.984s 0002 Spinup Function norm 1.286500993446e+01
      21.218s 0000 Spinup Function norm 4.328962677595e+01
      21.226s 0001 Spinup Function norm 2.228472721859e+01
      21.225s 0002 Spinup Function norm 1.286500993446e+01
      19.799s 0000 Spinup Function norm 4.328962677595e+01
      19.800s 0001 Spinup Function norm 2.228472721859e+01
      19.707s 0002 Spinup Function norm 1.286500993446e+01
      18.336s 0000 Spinup Function norm 4.328962677595e+01
      18.338s 0001 Spinup Function norm 2.228472721859e+01
      18.327s 0002 Spinup Function norm 1.286500993446e+01
      16.072s 0000 Spinup Function norm 4.328962677595e+01
      16.290s 0001 Spinup Function norm 2.228472721859e+01
      16.121s 0002 Spinup Function norm 1.286500993446e+01
      15.237s 0000 Spinup Function norm 4.328962677595e+01
      15.237s 0001 Spinup Function norm 2.228472721859e+01
      15.245s 0002 Spinup Function norm 1.286500993446e+01
      14.344s 0000 Spinup Function norm 4.328962677595e+01
      14.470s 0001 Spinup Function norm 2.228472721859e+01
      14.471s 0002 Spinup Function norm 1.286500993446e+01
      13.733s 0000 Spinup Function norm 4.328962677595e+01
      13.738s 0001 Spinup Function norm 2.228472721859e+01
      13.746s 0002 Spinup Function norm 1.286500993446e+01
      13.010s 0000 Spinup Function norm 4.328962677595e+01
      12.776s 0001 Spinup Function norm 2.228472721859e+01
      13.010s 0002 Spinup Function norm 1.286500993446e+01
      12.157s 0000 Spinup Function norm 4.328962677595e+01
      12.162s 0001 Spinup Function norm 2.228472721859e+01
      12.156s 0002 Spinup Function norm 1.286500993446e+01
      11.160s 0000 Spinup Function norm 4.328962677595e+01
      11.161s 0001 Spinup Function norm 2.228472721859e+01
      11.156s 0002 Spinup Function norm 1.286500993446e+01
      10.555s 0000 Spinup Function norm 4.328962677595e+01
      10.553s 0001 Spinup Function norm 2.228472721859e+01
      10.553s 0002 Spinup Function norm 1.286500993446e+01
       9.955s 0000 Spinup Function norm 4.328962677595e+01
       9.917s 0001 Spinup Function norm 2.228472721859e+01
       9.948s 0002 Spinup Function norm 1.286500993446e+01
       9.296s 0000 Spinup Function norm 4.328962677595e+01
       9.292s 0001 Spinup Function norm 2.228472721859e+01
       9.297s 0002 Spinup Function norm 1.286500993446e+01
       8.780s 0000 Spinup Function norm 4.328962677595e+01
       8.742s 0001 Spinup Function norm 2.228472721859e+01
       8.637s 0002 Spinup Function norm 1.286500993446e+01
       8.424s 0000 Spinup Function norm 4.328962677595e+01
       8.413s 0001 Spinup Function norm 2.228472721859e+01
       8.406s 0002 Spinup Function norm 1.286500993446e+01
       7.892s 0000 Spinup Function norm 4.328962677595e+01
       7.898s 0001 Spinup Function norm 2.228472721859e+01
       7.898s 0002 Spinup Function norm 1.286500993446e+01
       7.445s 0000 Spinup Function norm 4.328962677595e+01
       7.462s 0001 Spinup Function norm 2.228472721859e+01
       7.453s 0002 Spinup Function norm 1.286500993446e+01
       7.119s 0000 Spinup Function norm 4.328962677595e+01
       7.129s 0001 Spinup Function norm 2.228472721859e+01
       7.120s 0002 Spinup Function norm 1.286500993446e+01
       6.697s 0000 Spinup Function norm 4.328962677595e+01
       6.694s 0001 Spinup Function norm 2.228472721859e+01
       6.707s 0002 Spinup Function norm 1.286500993446e+01
       6.379s 0000 Spinup Function norm 4.328962677595e+01
       6.384s 0001 Spinup Function norm 2.228472721859e+01
       6.388s 0002 Spinup Function norm 1.286500993446e+01
       6.312s 0000 Spinup Function norm 4.328962677595e+01
       6.314s 0001 Spinup Function norm 2.228472721859e+01
       6.315s 0002 Spinup Function norm 1.286500993446e+01
       5.861s 0000 Spinup Function norm 4.328962677595e+01
       5.908s 0001 Spinup Function norm 2.228472721859e+01
       5.873s 0002 Spinup Function norm 1.286500993446e+01
       5.671s 0000 Spinup Function norm 4.328962677595e+01
       5.660s 0001 Spinup Function norm 2.228472721859e+01
       5.659s 0002 Spinup Function norm 1.286500993446e+01
       5.505s 0000 Spinup Function norm 4.328962677595e+01
       5.503s 0001 Spinup Function norm 2.228472721859e+01
       5.505s 0002 Spinup Function norm 1.286500993446e+01
       5.142s 0000 Spinup Function norm 4.328962677595e+01
       5.145s 0001 Spinup Function norm 2.228472721859e+01
       5.142s 0002 Spinup Function norm 1.286500993446e+01
       4.888s 0000 Spinup Function norm 4.328962677595e+01
       4.887s 0001 Spinup Function norm 2.228472721859e+01
       4.879s 0002 Spinup Function norm 1.286500993446e+01
       4.913s 0000 Spinup Function norm 4.328962677595e+01
       4.910s 0001 Spinup Function norm 2.228472721859e+01
       4.908s 0002 Spinup Function norm 1.286500993446e+01
       4.694s 0000 Spinup Function norm 4.328962677595e+01
       4.692s 0001 Spinup Function norm 2.228472721859e+01
       4.692s 0002 Spinup Function norm 1.286500993446e+01
       4.697s 0000 Spinup Function norm 4.328962677595e+01
       4.697s 0001 Spinup Function norm 2.228472721859e+01
       4.706s 0002 Spinup Function norm 1.286500993446e+01
       4.513s 0000 Spinup Function norm 4.328962677595e+01
       4.501s 0001 Spinup Function norm 2.228472721859e+01
       4.499s 0002 Spinup Function norm 1.286500993446e+01
       4.332s 0000 Spinup Function norm 4.328962677595e+01
       4.333s 0001 Spinup Function norm 2.228472721859e+01
       4.382s 0002 Spinup Function norm 1.286500993446e+01
       4.235s 0000 Spinup Function norm 4.328962677595e+01
       4.236s 0001 Spinup Function norm 2.228472721859e+01
       4.237s 0002 Spinup Function norm 1.286500993446e+01
       4.046s 0000 Spinup Function norm 4.328962677595e+01
       4.030s 0001 Spinup Function norm 2.228472721859e+01
       4.044s 0002 Spinup Function norm 1.286500993446e+01
       3.931s 0000 Spinup Function norm 4.328962677595e+01
       3.953s 0001 Spinup Function norm 2.228472721859e+01
       3.918s 0002 Spinup Function norm 1.286500993446e+01
       3.886s 0000 Spinup Function norm 4.328962677595e+01
       3.889s 0001 Spinup Function norm 2.228472721859e+01
       3.886s 0002 Spinup Function norm 1.286500993446e+01
       3.842s 0000 Spinup Function norm 4.328962677595e+01
       3.838s 0001 Spinup Function norm 2.228472721859e+01
       3.828s 0002 Spinup Function norm 1.286500993446e+01
       3.728s 0000 Spinup Function norm 4.328962677595e+01
       3.731s 0001 Spinup Function norm 2.228472721859e+01
       3.725s 0002 Spinup Function norm 1.286500993446e+01
       3.608s 0000 Spinup Function norm 4.328962677595e+01
       3.597s 0001 Spinup Function norm 2.228472721859e+01
       3.587s 0002 Spinup Function norm 1.286500993446e+01
       3.513s 0000 Spinup Function norm 4.328962677595e+01
       3.518s 0001 Spinup Function norm 2.228472721859e+01
       3.516s 0002 Spinup Function norm 1.286500993446e+01
       3.442s 0000 Spinup Function norm 4.328962677595e+01
       3.427s 0001 Spinup Function norm 2.228472721859e+01
       3.436s 0002 Spinup Function norm 1.286500993446e+01
       3.354s 0000 Spinup Function norm 4.328962677595e+01
       3.351s 0001 Spinup Function norm 2.228472721859e+01
       3.343s 0002 Spinup Function norm 1.286500993446e+01
       3.360s 0000 Spinup Function norm 4.328962677595e+01
       3.320s 0001 Spinup Function norm 2.228472721859e+01
       3.314s 0002 Spinup Function norm 1.286500993446e+01
       3.179s 0000 Spinup Function norm 4.328962677595e+01
       3.181s 0001 Spinup Function norm 2.228472721859e+01
       3.183s 0002 Spinup Function norm 1.286500993446e+01
       3.126s 0000 Spinup Function norm 4.328962677595e+01
       3.117s 0001 Spinup Function norm 2.228472721859e+01
       3.130s 0002 Spinup Function norm 1.286500993446e+01
       3.091s 0000 Spinup Function norm 4.328962677595e+01
       3.079s 0001 Spinup Function norm 2.228472721859e+01
       3.084s 0002 Spinup Function norm 1.286500993446e+01
       2.986s 0000 Spinup Function norm 4.328962677595e+01
       2.974s 0001 Spinup Function norm 2.228472721859e+01
       2.984s 0002 Spinup Function norm 1.286500993446e+01
       2.903s 0000 Spinup Function norm 4.328962677595e+01
       2.894s 0001 Spinup Function norm 2.228472721859e+01
       2.905s 0002 Spinup Function norm 1.286500993446e+01
       2.875s 0000 Spinup Function norm 4.328962677595e+01
       2.865s 0001 Spinup Function norm 2.228472721859e+01
       2.867s 0002 Spinup Function norm 1.286500993446e+01
       2.809s 0000 Spinup Function norm 4.328962677595e+01
       2.846s 0001 Spinup Function norm 2.228472721859e+01
       2.842s 0002 Spinup Function norm 1.286500993446e+01
       2.786s 0000 Spinup Function norm 4.328962677595e+01
       2.768s 0001 Spinup Function norm 2.228472721859e+01
       2.835s 0002 Spinup Function norm 1.286500993446e+01
       2.701s 0000 Spinup Function norm 4.328962677595e+01
       2.705s 0001 Spinup Function norm 2.228472721859e+01
       2.710s 0002 Spinup Function norm 1.286500993446e+01
       2.623s 0000 Spinup Function norm 4.328962677595e+01
       2.630s 0001 Spinup Function norm 2.228472721859e+01
       2.619s 0002 Spinup Function norm 1.286500993446e+01
       2.577s 0000 Spinup Function norm 4.328962677595e+01
       2.585s 0001 Spinup Function norm 2.228472721859e+01
       2.575s 0002 Spinup Function norm 1.286500993446e+01
       2.543s 0000 Spinup Function norm 4.328962677595e+01
       2.534s 0001 Spinup Function norm 2.228472721859e+01
       2.538s 0002 Spinup Function norm 1.286500993446e+01
       2.540s 0000 Spinup Function norm 4.328962677595e+01
       2.479s 0001 Spinup Function norm 2.228472721859e+01
       2.497s 0002 Spinup Function norm 1.286500993446e+01
       2.444s 0000 Spinup Function norm 4.328962677595e+01
       2.447s 0001 Spinup Function norm 2.228472721859e+01
       2.440s 0002 Spinup Function norm 1.286500993446e+01
       2.419s 0000 Spinup Function norm 4.328962677595e+01
       2.410s 0001 Spinup Function norm 2.228472721859e+01
       2.417s 0002 Spinup Function norm 1.286500993446e+01
       2.349s 0000 Spinup Function norm 4.328962677595e+01
       2.337s 0001 Spinup Function norm 2.228472721859e+01
       2.337s 0002 Spinup Function norm 1.286500993446e+01
       2.307s 0000 Spinup Function norm 4.328962677595e+01
       2.306s 0001 Spinup Function norm 2.228472721859e+01
       2.297s 0002 Spinup Function norm 1.286500993446e+01
       2.289s 0000 Spinup Function norm 4.328962677595e+01
       2.280s 0001 Spinup Function norm 2.228472721859e+01
       2.292s 0002 Spinup Function norm 1.286500993446e+01
       2.224s 0000 Spinup Function norm 4.328962677595e+01
       2.225s 0001 Spinup Function norm 2.228472721859e+01
       2.220s 0002 Spinup Function norm 1.286500993446e+01
       2.200s 0000 Spinup Function norm 4.328962677595e+01
       2.186s 0001 Spinup Function norm 2.228472721859e+01
       2.189s 0002 Spinup Function norm 1.286500993446e+01
       2.157s 0000 Spinup Function norm 4.328962677595e+01
       2.162s 0001 Spinup Function norm 2.228472721859e+01
       2.152s 0002 Spinup Function norm 1.286500993446e+01
       2.132s 0000 Spinup Function norm 4.328962677595e+01
       2.124s 0001 Spinup Function norm 2.228472721859e+01
       2.126s 0002 Spinup Function norm 1.286500993446e+01
       2.095s 0000 Spinup Function norm 4.328962677595e+01
       2.091s 0001 Spinup Function norm 2.228472721859e+01
       2.090s 0002 Spinup Function norm 1.286500993446e+01
       2.050s 0000 Spinup Function norm 4.328962677595e+01
       2.044s 0001 Spinup Function norm 2.228472721859e+01
       2.044s 0002 Spinup Function norm 1.286500993446e+01
       2.025s 0000 Spinup Function norm 4.328962677595e+01
       2.018s 0001 Spinup Function norm 2.228472721859e+01
       2.015s 0002 Spinup Function norm 1.286500993446e+01
       2.015s 0000 Spinup Function norm 4.328962677595e+01
       2.006s 0001 Spinup Function norm 2.228472721859e+01
       2.011s 0002 Spinup Function norm 1.286500993446e+01
       2.036s 0000 Spinup Function norm 4.328962677595e+01
       2.021s 0001 Spinup Function norm 2.228472721859e+01
       1.983s 0002 Spinup Function norm 1.286500993446e+01
       1.967s 0000 Spinup Function norm 4.328962677595e+01
       1.949s 0001 Spinup Function norm 2.228472721859e+01
       1.957s 0002 Spinup Function norm 1.286500993446e+01
       1.918s 0000 Spinup Function norm 4.328962677595e+01
       1.920s 0001 Spinup Function norm 2.228472721859e+01
       1.925s 0002 Spinup Function norm 1.286500993446e+01
       1.902s 0000 Spinup Function norm 4.328962677595e+01
       1.903s 0001 Spinup Function norm 2.228472721859e+01
       1.899s 0002 Spinup Function norm 1.286500993446e+01
       1.914s 0000 Spinup Function norm 4.328962677595e+01
       1.910s 0001 Spinup Function norm 2.228472721859e+01
       1.916s 0002 Spinup Function norm 1.286500993446e+01
       1.841s 0000 Spinup Function norm 4.328962677595e+01
       1.833s 0001 Spinup Function norm 2.228472721859e+01
       1.823s 0002 Spinup Function norm 1.286500993446e+01
       1.812s 0000 Spinup Function norm 4.328962677595e+01
       1.824s 0001 Spinup Function norm 2.228472721859e+01
       1.818s 0002 Spinup Function norm 1.286500993446e+01
       1.801s 0000 Spinup Function norm 4.328962677595e+01
       1.792s 0001 Spinup Function norm 2.228472721859e+01
       1.797s 0002 Spinup Function norm 1.286500993446e+01
       1.784s 0000 Spinup Function norm 4.328962677595e+01
       1.785s 0001 Spinup Function norm 2.228472721859e+01
       1.777s 0002 Spinup Function norm 1.286500993446e+01
       1.767s 0000 Spinup Function norm 4.328962677595e+01
       1.771s 0001 Spinup Function norm 2.228472721859e+01
       1.769s 0002 Spinup Function norm 1.286500993446e+01
       1.756s 0000 Spinup Function norm 4.328962677595e+01
       1.741s 0001 Spinup Function norm 2.228472721859e+01
       1.737s 0002 Spinup Function norm 1.286500993446e+01
       1.724s 0000 Spinup Function norm 4.328962677595e+01
       1.730s 0001 Spinup Function norm 2.228472721859e+01
       1.737s 0002 Spinup Function norm 1.286500993446e+01
       1.711s 0000 Spinup Function norm 4.328962677595e+01
       1.713s 0001 Spinup Function norm 2.228472721859e+01
       1.703s 0002 Spinup Function norm 1.286500993446e+01
       1.710s 0000 Spinup Function norm 4.328962677595e+01
       1.780s 0001 Spinup Function norm 2.228472721859e+01
       1.727s 0002 Spinup Function norm 1.286500993446e+01
       1.690s 0000 Spinup Function norm 4.328962677595e+01
       1.675s 0001 Spinup Function norm 2.228472721859e+01
       1.674s 0002 Spinup Function norm 1.286500993446e+01
       1.651s 0000 Spinup Function norm 4.328962677595e+01
       1.644s 0001 Spinup Function norm 2.228472721859e+01
       1.644s 0002 Spinup Function norm 1.286500993446e+01
       1.652s 0000 Spinup Function norm 4.328962677595e+01
       1.655s 0001 Spinup Function norm 2.228472721859e+01
       1.645s 0002 Spinup Function norm 1.286500993446e+01
       1.632s 0000 Spinup Function norm 4.328962677595e+01
       1.612s 0001 Spinup Function norm 2.228472721859e+01
       1.623s 0002 Spinup Function norm 1.286500993446e+01
       1.593s 0000 Spinup Function norm 4.328962677595e+01
       1.591s 0001 Spinup Function norm 2.228472721859e+01
       1.594s 0002 Spinup Function norm 1.286500993446e+01
       1.563s 0000 Spinup Function norm 4.328962677595e+01
       1.557s 0001 Spinup Function norm 2.228472721859e+01
       1.567s 0002 Spinup Function norm 1.286500993446e+01
       1.562s 0000 Spinup Function norm 4.328962677595e+01
       1.562s 0001 Spinup Function norm 2.228472721859e+01
       1.554s 0002 Spinup Function norm 1.286500993446e+01
       1.516s 0000 Spinup Function norm 4.328962677595e+01
       1.525s 0001 Spinup Function norm 2.228472721859e+01
       1.514s 0002 Spinup Function norm 1.286500993446e+01
       1.532s 0000 Spinup Function norm 4.328962677595e+01
       1.519s 0001 Spinup Function norm 2.228472721859e+01
       1.522s 0002 Spinup Function norm 1.286500993446e+01
       1.498s 0000 Spinup Function norm 4.328962677595e+01
       1.518s 0001 Spinup Function norm 2.228472721859e+01
       1.506s 0002 Spinup Function norm 1.286500993446e+01
       1.482s 0000 Spinup Function norm 4.328962677595e+01
       1.486s 0001 Spinup Function norm 2.228472721859e+01
       1.483s 0002 Spinup Function norm 1.286500993446e+01
       1.472s 0000 Spinup Function norm 4.328962677595e+01
       1.467s 0001 Spinup Function norm 2.228472721859e+01
       1.473s 0002 Spinup Function norm 1.286500993446e+01
       1.470s 0000 Spinup Function norm 4.328962677595e+01
       1.459s 0001 Spinup Function norm 2.228472721859e+01
       1.471s 0002 Spinup Function norm 1.286500993446e+01
       1.443s 0000 Spinup Function norm 4.328962677595e+01
       1.449s 0001 Spinup Function norm 2.228472721859e+01
       1.438s 0002 Spinup Function norm 1.286500993446e+01
       1.439s 0000 Spinup Function norm 4.328962677595e+01
       1.439s 0001 Spinup Function norm 2.228472721859e+01
