
%NQSII(INFO): ------- Output from job:0000 -------
     196.127s 0000 Spinup Function norm 4.328962677595e+01
     196.086s 0001 Spinup Function norm 2.228472721859e+01
     196.090s 0002 Spinup Function norm 1.286500993446e+01
      76.469s 0000 Spinup Function norm 4.328962677595e+01
      76.464s 0001 Spinup Function norm 2.228472721859e+01
      76.459s 0002 Spinup Function norm 1.286500993446e+01
      55.371s 0000 Spinup Function norm 4.328962677595e+01
      55.374s 0001 Spinup Function norm 2.228472721859e+01
      55.368s 0002 Spinup Function norm 1.286500993446e+01
      40.900s 0000 Spinup Function norm 4.328962677595e+01
      40.896s 0001 Spinup Function norm 2.228472721859e+01
      40.798s 0002 Spinup Function norm 1.286500993446e+01
      37.880s 0000 Spinup Function norm 4.328962677595e+01
      37.882s 0001 Spinup Function norm 2.228472721859e+01
      37.884s 0002 Spinup Function norm 1.286500993446e+01
      35.286s 0000 Spinup Function norm 4.328962677595e+01
      35.276s 0001 Spinup Function norm 2.228472721859e+01
      35.280s 0002 Spinup Function norm 1.286500993446e+01
      29.942s 0000 Spinup Function norm 4.328962677595e+01
      29.941s 0001 Spinup Function norm 2.228472721859e+01
      29.938s 0002 Spinup Function norm 1.286500993446e+01
      26.245s 0000 Spinup Function norm 4.328962677595e+01
      26.240s 0001 Spinup Function norm 2.228472721859e+01
      26.248s 0002 Spinup Function norm 1.286500993446e+01
      26.184s 0000 Spinup Function norm 4.328962677595e+01
      26.143s 0001 Spinup Function norm 2.228472721859e+01
      26.158s 0002 Spinup Function norm 1.286500993446e+01
      23.346s 0000 Spinup Function norm 4.328962677595e+01
      23.306s 0001 Spinup Function norm 2.228472721859e+01
      23.304s 0002 Spinup Function norm 1.286500993446e+01
      24.977s 0000 Spinup Function norm 4.328962677595e+01
      24.975s 0001 Spinup Function norm 2.228472721859e+01
      24.975s 0002 Spinup Function norm 1.286500993446e+01
      22.190s 0000 Spinup Function norm 4.328962677595e+01
      22.189s 0001 Spinup Function norm 2.228472721859e+01
      22.179s 0002 Spinup Function norm 1.286500993446e+01
      23.851s 0000 Spinup Function norm 4.328962677595e+01
      23.841s 0001 Spinup Function norm 2.228472721859e+01
      23.853s 0002 Spinup Function norm 1.286500993446e+01
      21.776s 0000 Spinup Function norm 4.328962677595e+01
      21.770s 0001 Spinup Function norm 2.228472721859e+01
      21.782s 0002 Spinup Function norm 1.286500993446e+01
      22.874s 0000 Spinup Function norm 4.328962677595e+01
      22.867s 0001 Spinup Function norm 2.228472721859e+01
      22.875s 0002 Spinup Function norm 1.286500993446e+01
      21.217s 0000 Spinup Function norm 4.328962677595e+01
      21.178s 0001 Spinup Function norm 2.228472721859e+01
      21.205s 0002 Spinup Function norm 1.286500993446e+01
      19.487s 0000 Spinup Function norm 4.328962677595e+01
      19.439s 0001 Spinup Function norm 2.228472721859e+01
      19.460s 0002 Spinup Function norm 1.286500993446e+01
      18.330s 0000 Spinup Function norm 4.328962677595e+01
      16.923s 0001 Spinup Function norm 2.228472721859e+01
      18.203s 0002 Spinup Function norm 1.286500993446e+01
      16.458s 0000 Spinup Function norm 4.328962677595e+01
      16.623s 0001 Spinup Function norm 2.228472721859e+01
      16.486s 0002 Spinup Function norm 1.286500993446e+01
      14.510s 0000 Spinup Function norm 4.328962677595e+01
      14.480s 0001 Spinup Function norm 2.228472721859e+01
      14.491s 0002 Spinup Function norm 1.286500993446e+01
      13.700s 0000 Spinup Function norm 4.328962677595e+01
      13.635s 0001 Spinup Function norm 2.228472721859e+01
      13.636s 0002 Spinup Function norm 1.286500993446e+01
      13.227s 0000 Spinup Function norm 4.328962677595e+01
      13.148s 0001 Spinup Function norm 2.228472721859e+01
      13.296s 0002 Spinup Function norm 1.286500993446e+01
      12.245s 0000 Spinup Function norm 4.328962677595e+01
      12.291s 0001 Spinup Function norm 2.228472721859e+01
      12.294s 0002 Spinup Function norm 1.286500993446e+01
      12.022s 0000 Spinup Function norm 4.328962677595e+01
      12.025s 0001 Spinup Function norm 2.228472721859e+01
      12.025s 0002 Spinup Function norm 1.286500993446e+01
      11.284s 0000 Spinup Function norm 4.328962677595e+01
      11.278s 0001 Spinup Function norm 2.228472721859e+01
      11.277s 0002 Spinup Function norm 1.286500993446e+01
      10.563s 0000 Spinup Function norm 4.328962677595e+01
      10.559s 0001 Spinup Function norm 2.228472721859e+01
      10.560s 0002 Spinup Function norm 1.286500993446e+01
       9.949s 0000 Spinup Function norm 4.328962677595e+01
       9.949s 0001 Spinup Function norm 2.228472721859e+01
       9.834s 0002 Spinup Function norm 1.286500993446e+01
       9.226s 0000 Spinup Function norm 4.328962677595e+01
       9.103s 0001 Spinup Function norm 2.228472721859e+01
       9.240s 0002 Spinup Function norm 1.286500993446e+01
       8.690s 0000 Spinup Function norm 4.328962677595e+01
       8.693s 0001 Spinup Function norm 2.228472721859e+01
       8.694s 0002 Spinup Function norm 1.286500993446e+01
       8.322s 0000 Spinup Function norm 4.328962677595e+01
       8.332s 0001 Spinup Function norm 2.228472721859e+01
       8.333s 0002 Spinup Function norm 1.286500993446e+01
       7.982s 0000 Spinup Function norm 4.328962677595e+01
       7.975s 0001 Spinup Function norm 2.228472721859e+01
       7.980s 0002 Spinup Function norm 1.286500993446e+01
       7.431s 0000 Spinup Function norm 4.328962677595e+01
       7.502s 0001 Spinup Function norm 2.228472721859e+01
       7.433s 0002 Spinup Function norm 1.286500993446e+01
       6.957s 0000 Spinup Function norm 4.328962677595e+01
       6.954s 0001 Spinup Function norm 2.228472721859e+01
       6.961s 0002 Spinup Function norm 1.286500993446e+01
       6.811s 0000 Spinup Function norm 4.328962677595e+01
       6.775s 0001 Spinup Function norm 2.228472721859e+01
       6.777s 0002 Spinup Function norm 1.286500993446e+01
       6.579s 0000 Spinup Function norm 4.328962677595e+01
