
%NQSII(INFO): ------- Output from job:0000 -------
     196.139s 0000 Spinup Function norm 4.328962677595e+01
     196.204s 0001 Spinup Function norm 2.228472721859e+01
     196.163s 0002 Spinup Function norm 1.286500993446e+01
      75.780s 0000 Spinup Function norm 4.328962677595e+01
      75.773s 0001 Spinup Function norm 2.228472721859e+01
      75.774s 0002 Spinup Function norm 1.286500993446e+01
      54.804s 0000 Spinup Function norm 4.328962677595e+01
      54.807s 0001 Spinup Function norm 2.228472721859e+01
      54.807s 0002 Spinup Function norm 1.286500993446e+01
      40.879s 0000 Spinup Function norm 4.328962677595e+01
      40.797s 0001 Spinup Function norm 2.228472721859e+01
      40.970s 0002 Spinup Function norm 1.286500993446e+01
      38.020s 0000 Spinup Function norm 4.328962677595e+01
      38.018s 0001 Spinup Function norm 2.228472721859e+01
      38.017s 0002 Spinup Function norm 1.286500993446e+01
      35.333s 0000 Spinup Function norm 4.328962677595e+01
      35.323s 0001 Spinup Function norm 2.228472721859e+01
      35.228s 0002 Spinup Function norm 1.286500993446e+01
      29.960s 0000 Spinup Function norm 4.328962677595e+01
      29.960s 0001 Spinup Function norm 2.228472721859e+01
      29.966s 0002 Spinup Function norm 1.286500993446e+01
      26.253s 0000 Spinup Function norm 4.328962677595e+01
      26.211s 0001 Spinup Function norm 2.228472721859e+01
      26.173s 0002 Spinup Function norm 1.286500993446e+01
      26.972s 0000 Spinup Function norm 4.328962677595e+01
      26.972s 0001 Spinup Function norm 2.228472721859e+01
      26.974s 0002 Spinup Function norm 1.286500993446e+01
      23.900s 0000 Spinup Function norm 4.328962677595e+01
      23.900s 0001 Spinup Function norm 2.228472721859e+01
      23.900s 0002 Spinup Function norm 1.286500993446e+01
      24.959s 0000 Spinup Function norm 4.328962677595e+01
      24.966s 0001 Spinup Function norm 2.228472721859e+01
      24.966s 0002 Spinup Function norm 1.286500993446e+01
      22.168s 0000 Spinup Function norm 4.328962677595e+01
      22.184s 0001 Spinup Function norm 2.228472721859e+01
      22.186s 0002 Spinup Function norm 1.286500993446e+01
      23.843s 0000 Spinup Function norm 4.328962677595e+01
      23.852s 0001 Spinup Function norm 2.228472721859e+01
      23.842s 0002 Spinup Function norm 1.286500993446e+01
      21.778s 0000 Spinup Function norm 4.328962677595e+01
      21.780s 0001 Spinup Function norm 2.228472721859e+01
      21.781s 0002 Spinup Function norm 1.286500993446e+01
      22.986s 0000 Spinup Function norm 4.328962677595e+01
      21.828s 0001 Spinup Function norm 2.228472721859e+01
      22.981s 0002 Spinup Function norm 1.286500993446e+01
      21.239s 0000 Spinup Function norm 4.328962677595e+01
      21.238s 0001 Spinup Function norm 2.228472721859e+01
      21.223s 0002 Spinup Function norm 1.286500993446e+01
      19.348s 0000 Spinup Function norm 4.328962677595e+01
      19.356s 0001 Spinup Function norm 2.228472721859e+01
      19.341s 0002 Spinup Function norm 1.286500993446e+01
      18.204s 0000 Spinup Function norm 4.328962677595e+01
      18.192s 0001 Spinup Function norm 2.228472721859e+01
      18.195s 0002 Spinup Function norm 1.286500993446e+01
      16.254s 0000 Spinup Function norm 4.328962677595e+01
      16.231s 0001 Spinup Function norm 2.228472721859e+01
      16.239s 0002 Spinup Function norm 1.286500993446e+01
      14.944s 0000 Spinup Function norm 4.328962677595e+01
      15.035s 0001 Spinup Function norm 2.228472721859e+01
      15.325s 0002 Spinup Function norm 1.286500993446e+01
      14.356s 0000 Spinup Function norm 4.328962677595e+01
      14.360s 0001 Spinup Function norm 2.228472721859e+01
      14.356s 0002 Spinup Function norm 1.286500993446e+01
      13.611s 0000 Spinup Function norm 4.328962677595e+01
      13.611s 0001 Spinup Function norm 2.228472721859e+01
      13.602s 0002 Spinup Function norm 1.286500993446e+01
      12.818s 0000 Spinup Function norm 4.328962677595e+01
      12.851s 0001 Spinup Function norm 2.228472721859e+01
      12.833s 0002 Spinup Function norm 1.286500993446e+01
      11.972s 0000 Spinup Function norm 4.328962677595e+01
      11.879s 0001 Spinup Function norm 2.228472721859e+01
      11.970s 0002 Spinup Function norm 1.286500993446e+01
      11.292s 0000 Spinup Function norm 4.328962677595e+01
      11.311s 0001 Spinup Function norm 2.228472721859e+01
      11.318s 0002 Spinup Function norm 1.286500993446e+01
      10.487s 0000 Spinup Function norm 4.328962677595e+01
      10.458s 0001 Spinup Function norm 2.228472721859e+01
      10.469s 0002 Spinup Function norm 1.286500993446e+01
       9.773s 0000 Spinup Function norm 4.328962677595e+01
       9.698s 0001 Spinup Function norm 2.228472721859e+01
       9.772s 0002 Spinup Function norm 1.286500993446e+01
       9.189s 0000 Spinup Function norm 4.328962677595e+01
       9.184s 0001 Spinup Function norm 2.228472721859e+01
       9.184s 0002 Spinup Function norm 1.286500993446e+01
       8.984s 0000 Spinup Function norm 4.328962677595e+01
       8.956s 0001 Spinup Function norm 2.228472721859e+01
       8.960s 0002 Spinup Function norm 1.286500993446e+01
       8.226s 0000 Spinup Function norm 4.328962677595e+01
       8.231s 0001 Spinup Function norm 2.228472721859e+01
       8.220s 0002 Spinup Function norm 1.286500993446e+01
       7.945s 0000 Spinup Function norm 4.328962677595e+01
       7.948s 0001 Spinup Function norm 2.228472721859e+01
       7.945s 0002 Spinup Function norm 1.286500993446e+01
       7.363s 0000 Spinup Function norm 4.328962677595e+01
       7.367s 0001 Spinup Function norm 2.228472721859e+01
       7.368s 0002 Spinup Function norm 1.286500993446e+01
       7.136s 0000 Spinup Function norm 4.328962677595e+01
       7.144s 0001 Spinup Function norm 2.228472721859e+01
       7.113s 0002 Spinup Function norm 1.286500993446e+01
       6.863s 0000 Spinup Function norm 4.328962677595e+01
       6.851s 0001 Spinup Function norm 2.228472721859e+01
       6.851s 0002 Spinup Function norm 1.286500993446e+01
       6.464s 0000 Spinup Function norm 4.328962677595e+01
       6.459s 0001 Spinup Function norm 2.228472721859e+01
       6.471s 0002 Spinup Function norm 1.286500993446e+01
       6.247s 0000 Spinup Function norm 4.328962677595e+01
       6.249s 0001 Spinup Function norm 2.228472721859e+01
       6.245s 0002 Spinup Function norm 1.286500993446e+01
       5.920s 0000 Spinup Function norm 4.328962677595e+01
       5.949s 0001 Spinup Function norm 2.228472721859e+01
       5.921s 0002 Spinup Function norm 1.286500993446e+01
       5.720s 0000 Spinup Function norm 4.328962677595e+01
       5.712s 0001 Spinup Function norm 2.228472721859e+01
       5.711s 0002 Spinup Function norm 1.286500993446e+01
       5.462s 0000 Spinup Function norm 4.328962677595e+01
       5.465s 0001 Spinup Function norm 2.228472721859e+01
       5.461s 0002 Spinup Function norm 1.286500993446e+01
       5.285s 0000 Spinup Function norm 4.328962677595e+01
       5.287s 0001 Spinup Function norm 2.228472721859e+01
       5.290s 0002 Spinup Function norm 1.286500993446e+01
       4.987s 0000 Spinup Function norm 4.328962677595e+01
       4.988s 0001 Spinup Function norm 2.228472721859e+01
       4.989s 0002 Spinup Function norm 1.286500993446e+01
       4.932s 0000 Spinup Function norm 4.328962677595e+01
       4.937s 0001 Spinup Function norm 2.228472721859e+01
       4.929s 0002 Spinup Function norm 1.286500993446e+01
       4.759s 0000 Spinup Function norm 4.328962677595e+01
       4.753s 0001 Spinup Function norm 2.228472721859e+01
       4.779s 0002 Spinup Function norm 1.286500993446e+01
       4.591s 0000 Spinup Function norm 4.328962677595e+01
       4.582s 0001 Spinup Function norm 2.228472721859e+01
       4.583s 0002 Spinup Function norm 1.286500993446e+01
       4.368s 0000 Spinup Function norm 4.328962677595e+01
       4.366s 0001 Spinup Function norm 2.228472721859e+01
       4.369s 0002 Spinup Function norm 1.286500993446e+01
       4.276s 0000 Spinup Function norm 4.328962677595e+01
       4.272s 0001 Spinup Function norm 2.228472721859e+01
       4.267s 0002 Spinup Function norm 1.286500993446e+01
       4.221s 0000 Spinup Function norm 4.328962677595e+01
       4.209s 0001 Spinup Function norm 2.228472721859e+01
       4.210s 0002 Spinup Function norm 1.286500993446e+01
       4.140s 0000 Spinup Function norm 4.328962677595e+01
       4.136s 0001 Spinup Function norm 2.228472721859e+01
       4.142s 0002 Spinup Function norm 1.286500993446e+01
       4.026s 0000 Spinup Function norm 4.328962677595e+01
       4.014s 0001 Spinup Function norm 2.228472721859e+01
       4.014s 0002 Spinup Function norm 1.286500993446e+01
       3.894s 0000 Spinup Function norm 4.328962677595e+01
       3.903s 0001 Spinup Function norm 2.228472721859e+01
       3.906s 0002 Spinup Function norm 1.286500993446e+01
       3.804s 0000 Spinup Function norm 4.328962677595e+01
       3.805s 0001 Spinup Function norm 2.228472721859e+01
       3.792s 0002 Spinup Function norm 1.286500993446e+01
       3.717s 0000 Spinup Function norm 4.328962677595e+01
       3.729s 0001 Spinup Function norm 2.228472721859e+01
       3.729s 0002 Spinup Function norm 1.286500993446e+01
       3.615s 0000 Spinup Function norm 4.328962677595e+01
       3.602s 0001 Spinup Function norm 2.228472721859e+01
       3.597s 0002 Spinup Function norm 1.286500993446e+01
       3.511s 0000 Spinup Function norm 4.328962677595e+01
       3.517s 0001 Spinup Function norm 2.228472721859e+01
       3.523s 0002 Spinup Function norm 1.286500993446e+01
       3.458s 0000 Spinup Function norm 4.328962677595e+01
       3.449s 0001 Spinup Function norm 2.228472721859e+01
       3.462s 0002 Spinup Function norm 1.286500993446e+01
       3.400s 0000 Spinup Function norm 4.328962677595e+01
       3.395s 0001 Spinup Function norm 2.228472721859e+01
       3.398s 0002 Spinup Function norm 1.286500993446e+01
       3.290s 0000 Spinup Function norm 4.328962677595e+01
       3.285s 0001 Spinup Function norm 2.228472721859e+01
       3.281s 0002 Spinup Function norm 1.286500993446e+01
       3.200s 0000 Spinup Function norm 4.328962677595e+01
       3.209s 0001 Spinup Function norm 2.228472721859e+01
       3.184s 0002 Spinup Function norm 1.286500993446e+01
       3.126s 0000 Spinup Function norm 4.328962677595e+01
       3.119s 0001 Spinup Function norm 2.228472721859e+01
       3.126s 0002 Spinup Function norm 1.286500993446e+01
       3.074s 0000 Spinup Function norm 4.328962677595e+01
       3.062s 0001 Spinup Function norm 2.228472721859e+01
       3.072s 0002 Spinup Function norm 1.286500993446e+01
       3.003s 0000 Spinup Function norm 4.328962677595e+01
       2.980s 0001 Spinup Function norm 2.228472721859e+01
       2.993s 0002 Spinup Function norm 1.286500993446e+01
       2.936s 0000 Spinup Function norm 4.328962677595e+01
       2.913s 0001 Spinup Function norm 2.228472721859e+01
       2.933s 0002 Spinup Function norm 1.286500993446e+01
       2.864s 0000 Spinup Function norm 4.328962677595e+01
       2.844s 0001 Spinup Function norm 2.228472721859e+01
       2.863s 0002 Spinup Function norm 1.286500993446e+01
       2.798s 0000 Spinup Function norm 4.328962677595e+01
       2.777s 0001 Spinup Function norm 2.228472721859e+01
       2.794s 0002 Spinup Function norm 1.286500993446e+01
       2.790s 0000 Spinup Function norm 4.328962677595e+01
       2.770s 0001 Spinup Function norm 2.228472721859e+01
       2.776s 0002 Spinup Function norm 1.286500993446e+01
       2.695s 0000 Spinup Function norm 4.328962677595e+01
       2.697s 0001 Spinup Function norm 2.228472721859e+01
       2.699s 0002 Spinup Function norm 1.286500993446e+01
       2.628s 0000 Spinup Function norm 4.328962677595e+01
       2.642s 0001 Spinup Function norm 2.228472721859e+01
       2.619s 0002 Spinup Function norm 1.286500993446e+01
       2.582s 0000 Spinup Function norm 4.328962677595e+01
       2.580s 0001 Spinup Function norm 2.228472721859e+01
       2.578s 0002 Spinup Function norm 1.286500993446e+01
       2.550s 0000 Spinup Function norm 4.328962677595e+01
       2.645s 0001 Spinup Function norm 2.228472721859e+01
       2.541s 0002 Spinup Function norm 1.286500993446e+01
       2.492s 0000 Spinup Function norm 4.328962677595e+01
       2.492s 0001 Spinup Function norm 2.228472721859e+01
       2.487s 0002 Spinup Function norm 1.286500993446e+01
       2.433s 0000 Spinup Function norm 4.328962677595e+01
       2.446s 0001 Spinup Function norm 2.228472721859e+01
       2.430s 0002 Spinup Function norm 1.286500993446e+01
       2.410s 0000 Spinup Function norm 4.328962677595e+01
       2.388s 0001 Spinup Function norm 2.228472721859e+01
       2.403s 0002 Spinup Function norm 1.286500993446e+01
       2.352s 0000 Spinup Function norm 4.328962677595e+01
       2.348s 0001 Spinup Function norm 2.228472721859e+01
       2.344s 0002 Spinup Function norm 1.286500993446e+01
       2.307s 0000 Spinup Function norm 4.328962677595e+01
       2.341s 0001 Spinup Function norm 2.228472721859e+01
       2.303s 0002 Spinup Function norm 1.286500993446e+01
       2.290s 0000 Spinup Function norm 4.328962677595e+01
       2.265s 0001 Spinup Function norm 2.228472721859e+01
       2.275s 0002 Spinup Function norm 1.286500993446e+01
       2.229s 0000 Spinup Function norm 4.328962677595e+01
       2.245s 0001 Spinup Function norm 2.228472721859e+01
       2.231s 0002 Spinup Function norm 1.286500993446e+01
       2.201s 0000 Spinup Function norm 4.328962677595e+01
       2.175s 0001 Spinup Function norm 2.228472721859e+01
       2.200s 0002 Spinup Function norm 1.286500993446e+01
       2.154s 0000 Spinup Function norm 4.328962677595e+01
       2.168s 0001 Spinup Function norm 2.228472721859e+01
       2.150s 0002 Spinup Function norm 1.286500993446e+01
       2.135s 0000 Spinup Function norm 4.328962677595e+01
       2.109s 0001 Spinup Function norm 2.228472721859e+01
       2.132s 0002 Spinup Function norm 1.286500993446e+01
       2.090s 0000 Spinup Function norm 4.328962677595e+01
       2.104s 0001 Spinup Function norm 2.228472721859e+01
       2.082s 0002 Spinup Function norm 1.286500993446e+01
       2.066s 0000 Spinup Function norm 4.328962677595e+01
       2.042s 0001 Spinup Function norm 2.228472721859e+01
       2.046s 0002 Spinup Function norm 1.286500993446e+01
       2.028s 0000 Spinup Function norm 4.328962677595e+01
       2.043s 0001 Spinup Function norm 2.228472721859e+01
       2.038s 0002 Spinup Function norm 1.286500993446e+01
       2.018s 0000 Spinup Function norm 4.328962677595e+01
       1.990s 0001 Spinup Function norm 2.228472721859e+01
       1.999s 0002 Spinup Function norm 1.286500993446e+01
       1.965s 0000 Spinup Function norm 4.328962677595e+01
       1.966s 0001 Spinup Function norm 2.228472721859e+01
       1.971s 0002 Spinup Function norm 1.286500993446e+01
       1.949s 0000 Spinup Function norm 4.328962677595e+01
