
%NQSII(INFO): ------- Output from job:0000 -------
     195.999s 0000 Spinup Function norm 4.328962677595e+01
     196.254s 0001 Spinup Function norm 2.228472721859e+01
     196.181s 0002 Spinup Function norm 1.286500993446e+01
      75.746s 0000 Spinup Function norm 4.328962677595e+01
      75.734s 0001 Spinup Function norm 2.228472721859e+01
      75.732s 0002 Spinup Function norm 1.286500993446e+01
      60.542s 0000 Spinup Function norm 4.328962677595e+01
      60.500s 0001 Spinup Function norm 2.228472721859e+01
      60.496s 0002 Spinup Function norm 1.286500993446e+01
      40.972s 0000 Spinup Function norm 4.328962677595e+01
      40.879s 0001 Spinup Function norm 2.228472721859e+01
      40.861s 0002 Spinup Function norm 1.286500993446e+01
      37.140s 0000 Spinup Function norm 4.328962677595e+01
      37.146s 0001 Spinup Function norm 2.228472721859e+01
      37.123s 0002 Spinup Function norm 1.286500993446e+01
      35.482s 0000 Spinup Function norm 4.328962677595e+01
      35.520s 0001 Spinup Function norm 2.228472721859e+01
      35.460s 0002 Spinup Function norm 1.286500993446e+01
      29.933s 0000 Spinup Function norm 4.328962677595e+01
      29.933s 0001 Spinup Function norm 2.228472721859e+01
      29.937s 0002 Spinup Function norm 1.286500993446e+01
      26.217s 0000 Spinup Function norm 4.328962677595e+01
      25.828s 0001 Spinup Function norm 2.228472721859e+01
      26.187s 0002 Spinup Function norm 1.286500993446e+01
      26.105s 0000 Spinup Function norm 4.328962677595e+01
      26.106s 0001 Spinup Function norm 2.228472721859e+01
      26.105s 0002 Spinup Function norm 1.286500993446e+01
      23.729s 0000 Spinup Function norm 4.328962677595e+01
      23.732s 0001 Spinup Function norm 2.228472721859e+01
      23.728s 0002 Spinup Function norm 1.286500993446e+01
      25.071s 0000 Spinup Function norm 4.328962677595e+01
      25.066s 0001 Spinup Function norm 2.228472721859e+01
      25.068s 0002 Spinup Function norm 1.286500993446e+01
      22.102s 0000 Spinup Function norm 4.328962677595e+01
      22.101s 0001 Spinup Function norm 2.228472721859e+01
      22.097s 0002 Spinup Function norm 1.286500993446e+01
      23.904s 0000 Spinup Function norm 4.328962677595e+01
      23.898s 0001 Spinup Function norm 2.228472721859e+01
      23.898s 0002 Spinup Function norm 1.286500993446e+01
      21.670s 0000 Spinup Function norm 4.328962677595e+01
      21.672s 0001 Spinup Function norm 2.228472721859e+01
      21.683s 0002 Spinup Function norm 1.286500993446e+01
      22.919s 0000 Spinup Function norm 4.328962677595e+01
      22.914s 0001 Spinup Function norm 2.228472721859e+01
      22.917s 0002 Spinup Function norm 1.286500993446e+01
      21.186s 0000 Spinup Function norm 4.328962677595e+01
      21.184s 0001 Spinup Function norm 2.228472721859e+01
      21.182s 0002 Spinup Function norm 1.286500993446e+01
      19.822s 0000 Spinup Function norm 4.328962677595e+01
      19.820s 0001 Spinup Function norm 2.228472721859e+01
      19.822s 0002 Spinup Function norm 1.286500993446e+01
      18.346s 0000 Spinup Function norm 4.328962677595e+01
      18.320s 0001 Spinup Function norm 2.228472721859e+01
      18.296s 0002 Spinup Function norm 1.286500993446e+01
      16.935s 0000 Spinup Function norm 4.328962677595e+01
      16.941s 0001 Spinup Function norm 2.228472721859e+01
      16.887s 0002 Spinup Function norm 1.286500993446e+01
      15.357s 0000 Spinup Function norm 4.328962677595e+01
      15.350s 0001 Spinup Function norm 2.228472721859e+01
      15.350s 0002 Spinup Function norm 1.286500993446e+01
      14.020s 0000 Spinup Function norm 4.328962677595e+01
      14.197s 0001 Spinup Function norm 2.228472721859e+01
      14.192s 0002 Spinup Function norm 1.286500993446e+01
      13.356s 0000 Spinup Function norm 4.328962677595e+01
      13.085s 0001 Spinup Function norm 2.228472721859e+01
      13.134s 0002 Spinup Function norm 1.286500993446e+01
      12.918s 0000 Spinup Function norm 4.328962677595e+01
      12.803s 0001 Spinup Function norm 2.228472721859e+01
