
%NQSII(INFO): ------- Output from job:0000 -------
     196.194s 0000 Spinup Function norm 4.328962677595e+01
     196.202s 0001 Spinup Function norm 2.228472721859e+01
     196.199s 0002 Spinup Function norm 1.286500993446e+01
      75.737s 0000 Spinup Function norm 4.328962677595e+01
      75.721s 0001 Spinup Function norm 2.228472721859e+01
      75.714s 0002 Spinup Function norm 1.286500993446e+01
      54.747s 0000 Spinup Function norm 4.328962677595e+01
      54.589s 0001 Spinup Function norm 2.228472721859e+01
      54.648s 0002 Spinup Function norm 1.286500993446e+01
      40.996s 0000 Spinup Function norm 4.328962677595e+01
      40.998s 0001 Spinup Function norm 2.228472721859e+01
      40.996s 0002 Spinup Function norm 1.286500993446e+01
      37.625s 0000 Spinup Function norm 4.328962677595e+01
      35.942s 0001 Spinup Function norm 2.228472721859e+01
      35.906s 0002 Spinup Function norm 1.286500993446e+01
      35.511s 0000 Spinup Function norm 4.328962677595e+01
      35.506s 0001 Spinup Function norm 2.228472721859e+01
      35.507s 0002 Spinup Function norm 1.286500993446e+01
      30.311s 0000 Spinup Function norm 4.328962677595e+01
      30.309s 0001 Spinup Function norm 2.228472721859e+01
      30.312s 0002 Spinup Function norm 1.286500993446e+01
      26.313s 0000 Spinup Function norm 4.328962677595e+01
      26.317s 0001 Spinup Function norm 2.228472721859e+01
      26.314s 0002 Spinup Function norm 1.286500993446e+01
      26.184s 0000 Spinup Function norm 4.328962677595e+01
      26.166s 0001 Spinup Function norm 2.228472721859e+01
      26.169s 0002 Spinup Function norm 1.286500993446e+01
      23.338s 0000 Spinup Function norm 4.328962677595e+01
      23.716s 0001 Spinup Function norm 2.228472721859e+01
      23.340s 0002 Spinup Function norm 1.286500993446e+01
      24.963s 0000 Spinup Function norm 4.328962677595e+01
      24.965s 0001 Spinup Function norm 2.228472721859e+01
      24.966s 0002 Spinup Function norm 1.286500993446e+01
      22.264s 0000 Spinup Function norm 4.328962677595e+01
      22.272s 0001 Spinup Function norm 2.228472721859e+01
      22.267s 0002 Spinup Function norm 1.286500993446e+01
      23.776s 0000 Spinup Function norm 4.328962677595e+01
      23.781s 0001 Spinup Function norm 2.228472721859e+01
      23.764s 0002 Spinup Function norm 1.286500993446e+01
      21.745s 0000 Spinup Function norm 4.328962677595e+01
      21.743s 0001 Spinup Function norm 2.228472721859e+01
      21.746s 0002 Spinup Function norm 1.286500993446e+01
      22.942s 0000 Spinup Function norm 4.328962677595e+01
      22.940s 0001 Spinup Function norm 2.228472721859e+01
      22.942s 0002 Spinup Function norm 1.286500993446e+01
      21.252s 0000 Spinup Function norm 4.328962677595e+01
      21.250s 0001 Spinup Function norm 2.228472721859e+01
      21.197s 0002 Spinup Function norm 1.286500993446e+01
      19.608s 0000 Spinup Function norm 4.328962677595e+01
      19.598s 0001 Spinup Function norm 2.228472721859e+01
      19.604s 0002 Spinup Function norm 1.286500993446e+01
      18.328s 0000 Spinup Function norm 4.328962677595e+01
      18.325s 0001 Spinup Function norm 2.228472721859e+01
      18.321s 0002 Spinup Function norm 1.286500993446e+01
      16.449s 0000 Spinup Function norm 4.328962677595e+01
      16.597s 0001 Spinup Function norm 2.228472721859e+01
      16.469s 0002 Spinup Function norm 1.286500993446e+01
      15.700s 0000 Spinup Function norm 4.328962677595e+01
      15.163s 0001 Spinup Function norm 2.228472721859e+01
      15.070s 0002 Spinup Function norm 1.286500993446e+01
      14.188s 0000 Spinup Function norm 4.328962677595e+01
